protein,description,log_ratio_1,log_ratio_2,log_ratio_3,avg_ratio,sd_ratio,ratio_count
P54384,LEUC_SYNY3 3-isopropylmalate dehydratase large subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=leuC PE=3 SV=2,0.49986172667053747,-0.08980359209840809,0.2961989834984053,0.2961989834984053,0.29949448784094335,3
Q55176,Q55176_SYNY3 Slr0483 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0483 PE=4 SV=1,0.4009229698059436,0.2882291690960603,0.2926042900863736,0.2926042900863736,0.06383829934335333,3
Q55233,DRGA_SYNY3 Protein DrgA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=drgA PE=1 SV=1,-0.4015465678715759,0.4738943891118899,0.290493155413114,0.290493155413114,0.46169106920290137,3
P74177,RPOC1_SYNY3 DNA-directed RNA polymerase subunit gamma OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpoC1 PE=3 SV=1,0.2891839469134352,0.8682069783938139,0.28799800764329214,0.2891839469134352,0.33464197962799486,3
P74720,P74720_SYNY3 Sll1106 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1106 PE=4 SV=1,0.28612203435791966,0.3601226158016964,-0.0498781948235483,0.28612203435791966,0.21850740062881693,3
P73821,SERA_SYNY3 D-3-phosphoglycerate dehydrogenase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=serA PE=3 SV=1,0.2897394360095076,0.23979734780046738,0.27650912615698836,0.27650912615698836,0.02587472364931827,3
P73853,P73853_SYNY3 IMP dehydrogenase subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=guaB PE=4 SV=1,0.2750058877776343,0.36164986889385925,0.21461344534225982,0.2750058877776343,0.07390775378563032,3
Q55171,Q55171_SYNY3 Slr0476 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0476 PE=4 SV=1,-0.6479038581396895,0.7247550388686028,0.26576319924427916,0.26576319924427916,0.6987671820339999,3
P73298,RS11_SYNY3 30S ribosomal protein S11 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsK PE=3 SV=1,0.8328177656212263,0.2639492410203706,0.14732838894610537,0.2639492410203706,0.36676684395642234,3
P09193,PSBC_SYNY3 Photosystem II CP43 reaction center protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psbC PE=1 SV=3,-0.09978926287868209,0.2627977238480463,0.33098743417482857,0.2627977238480463,0.23154831110819737,3
P74384,PUR8_SYNY3 Adenylosuccinate lyase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=purB PE=3 SV=1,0.07858935292458238,0.2577301665172308,0.6276932361898285,0.2577301665172308,0.280023564077853,3
P73299,RS13_SYNY3 30S ribosomal protein S13 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsM PE=3 SV=1,0.23396988339762753,0.2471452721453604,0.3215035022397041,0.2471452721453604,0.04719617159439838,3
Q55665,"GSA_SYNY3 Glutamate-1-semialdehyde 2,1-aminomutase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hemL PE=3 SV=2",-0.16292161370454997,0.24642822527919778,0.39974584732625346,0.24642822527919778,0.2908803464224407,3
P72797,TAL_SYNY3 Transaldolase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=tal PE=3 SV=1,-0.3103520795885913,0.27899073401468283,0.23012361634534997,0.23012361634534997,0.3270644495687891,3
P73603,P73603_SYNY3 Slr1852 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1852 PE=4 SV=1,0.4273905626707494,0.12971001403006438,0.2286991086614313,0.2286991086614313,0.15159751745509883,3
P73309,RL24_SYNY3 50S ribosomal protein L24 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplX PE=3 SV=1,-0.29017847872495356,0.33616746167061884,0.224020357039682,0.224020357039682,0.3339876876046039,3
P80507,IPYR_SYNY3 Inorganic pyrophosphatase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ppa PE=1 SV=2,0.24024992474269094,-0.41117847587082446,0.22172983677189304,0.22172983677189304,0.3708716954681634,3
Q55436,Q55436_SYNY3 Slr0848 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0848 PE=1 SV=1,0.21957111430902934,-0.27323325707083296,0.3171689836184513,0.21957111430902934,0.31647967242667363,3
Q55432,Q55432_SYNY3 Sll0822 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0822 PE=1 SV=1,-0.06436182708624898,0.20791183459570617,0.3378245591268966,0.20791183459570617,0.20524950348945475,3
P51634,CHLI_SYNY3 Magnesium-chelatase subunit ChlI OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=chlI PE=3 SV=2,NA,0.28950661719498505,0.12093908144677792,0.20522284932088147,0.11919524761546314,2
P36239,RL19_SYNY3 50S ribosomal protein L19 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplS PE=3 SV=1,1.4740179230073445e-4,0.3355724370723136,0.20226822268050285,0.20226822268050285,0.1688849678053756,3
P74228,EFG2_SYNY3 Elongation factor G 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=fusB PE=3 SV=1,0.506753668370459,0.2013916560081837,-0.7462793453058356,0.2013916560081837,0.6533781471052517,3
P74534,P74534_SYNY3 Sll1338 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1338 PE=4 SV=1,0.010647244199508372,0.20511442990461257,0.19930880822340669,0.19930880822340669,0.1106378305547069,3
P73253,P73253_SYNY3 Sll1911 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1911 PE=4 SV=1,1.3344740386908964,0.19861403573663997,-0.04569564395826844,0.19861403573663997,0.7365158426456022,3
Q55641,Q55641_SYNY3 Ribonuclease D OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rnd PE=4 SV=1,0.19805303978675579,0.4006822063017736,-0.32533896592749706,0.19805303978675579,0.37463415783341747,3
P72874,IF3_SYNY3 Translation initiation factor IF-3 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=infC PE=3 SV=1,0.1975023778082157,0.480267050792438,-0.1002661618015914,0.1975023778082157,0.29029891904551763,3
P74230,RS12_SYNY3 30S ribosomal protein S12 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsL PE=3 SV=1,0.24693819911718745,-0.11094780134470494,0.19384315316006034,0.19384315316006034,0.1931316473202174,3
P73069,YC48L_SYNY3 Ycf48-like protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr2034 PE=3 SV=1,1.051271938710332,0.18951931142796444,-0.12230347685603911,0.18951931142796444,0.6078829791364802,3
P73311,RS17_SYNY3 30S ribosomal protein S17 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsQ PE=3 SV=1,0.4828888480422824,0.18491707735102605,0.11637196470065417,0.18491707735102605,0.19485902355788562,3
Q55522,SYV_SYNY3 Valine--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=valS PE=3 SV=1,-1.0197106458207497,0.18106414506272595,0.3181548974011056,0.18106414506272595,0.7360410070707415,3
P74070,EFTS_SYNY3 Elongation factor Ts OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=tsf PE=1 SV=3,-0.0273212711855422,0.1786685585951198,0.3611202313594544,0.1786685585951198,0.194339575557401,3
P27179,ATPA_SYNY3 ATP synthase subunit alpha OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=atpA PE=3 SV=1,-0.008817558511953006,0.18316402493151054,0.17669742943028,0.17669742943028,0.10902182961074276,3
P73306,RL6_SYNY3 50S ribosomal protein L6 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplF PE=3 SV=1,0.03401041124458311,0.3263291391384622,0.17582760186652224,0.17582760186652224,0.1461808622646459,3
P73201,SYS_SYNY3 Serine--tRNA ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=serS PE=3 SV=1,0.3538676671695635,0.09320416579851666,0.1720293441837505,0.1720293441837505,0.1336812411427339,3
P73952,P73952_SYNY3 Sll1418 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1418 PE=1 SV=1,1.1856624047962812,0.14592230882000823,0.1659291862537905,0.1659291862537905,0.5946028897962666,3
P73913,P73913_SYNY3 Acetolactate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ilvG PE=3 SV=1,0.9471757661105795,-0.7229551565459205,0.16042567253004467,0.16042567253004467,0.8355312379699289,3
P73452,NRTA_SYNY3 Nitrate transport protein NrtA OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=nrtA PE=1 SV=1,-0.08692416327175298,0.6900292802452995,0.1601081430821052,0.1601081430821052,0.3969672583870205,3
P73294,RL13_SYNY3 50S ribosomal protein L13 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplM PE=3 SV=1,0.1589768594876554,-0.015520871744481262,0.1680790665949076,0.1589768594876554,0.10347402712566223,3
Q55375,Q55375_SYNY3 Slr0909 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0909 PE=4 SV=1,0.24068413861031113,0.10725204609429435,0.15840645448033608,0.15840645448033608,0.06731829136809794,3
Q55118,PPI3_SYNY3 Putative thylakoid lumen peptidyl-prolyl cis-trans isomerase sll0408 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0408 PE=3 SV=2,0.3487822360916341,-0.3672030040607321,0.15595230389299336,0.15595230389299336,0.3704748581455812,3
P74607,Y2874_SYNY3 Putative regulatory protein ssl2874 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssl2874 PE=3 SV=1,0.15493757031656924,0.059507755220722124,0.34878139784259043,0.15493757031656924,0.14740054239774125,3
P77962,GLYA_SYNY3 Serine hydroxymethyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glyA PE=3 SV=1,0.30183141430115085,0.15421887492943603,-4.317647316570261,0.15421887492943603,2.6254828267524153,3
P72805,P72805_SYNY3 Sll1665 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1665 PE=4 SV=1,-0.34303741971450413,0.2682274250760528,0.15308992224136198,0.15308992224136198,0.3248188455308654,3
Q59993,CLPP2_SYNY3 ATP-dependent Clp protease proteolytic subunit 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=clpP2 PE=3 SV=1,0.15017574039404324,0.24952855127396198,0.040515159738713835,0.15017574039404324,0.10454904895189293,3
P74061,RPE_SYNY3 Ribulose-phosphate 3-epimerase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpe PE=1 SV=3,0.05310876022071813,0.15007736006783415,0.558031763016757,0.15007736006783415,0.2679480493784479,3
P55038,GLTS_SYNY3 Ferredoxin-dependent glutamate synthase 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gltS PE=1 SV=2,0.14691099724449727,0.03778411876361824,0.2932726229710595,0.14691099724449727,0.12819566872198307,3
P72700,P72700_SYNY3 Slr0244 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0244 PE=4 SV=1,0.3123602101873279,0.08079614295262981,0.14503848650887854,0.14503848650887854,0.11954466052108048,3
P73849,COMB_SYNY3 Probable 2-phosphosulfolactate phosphatase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=comB PE=3 SV=1,0.3018581772863976,0.1443169002999177,0.13736413965815053,0.1443169002999177,0.09302856483388643,3
P74459,CLPB1_SYNY3 Chaperone protein ClpB 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=clpB1 PE=3 SV=1,0.015559566056458378,0.17121736706936894,0.14357868574708885,0.14357868574708885,0.08304832200569875,3
P73303,RL15_SYNY3 50S ribosomal protein L15 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplO PE=3 SV=1,0.1423597855615965,0.46428788044895897,-0.7007294450304863,0.1423597855615965,0.6016231541540263,3
Q55776,Q55776_SYNY3 Sll0180 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0180 PE=3 SV=1,-0.5486474576906772,0.39996759195666015,0.13716986810861376,0.13716986810861376,0.4897752138215424,3
P73308,RL5_SYNY3 50S ribosomal protein L5 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplE PE=3 SV=2,0.13535409893066816,-0.10987003943543037,0.1825272191552909,0.13535409893066816,0.15698000835588974,3
P74299,CAPP_SYNY3 Phosphoenolpyruvate carboxylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ppc PE=3 SV=1,0.7748758052932082,0.1305723375608195,-0.049347674060383734,0.1305723375608195,0.4333671486225616,3
P72707,P72707_SYNY3 Sll0224 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll0224 PE=4 SV=1,0.02466920196819081,0.12990541779890746,0.29253213981881415,0.12990541779890746,0.13495225409459707,3
P74142,RS1B_SYNY3 30S ribosomal protein S1 homolog B OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rps1b PE=3 SV=1,0.1298700617368701,0.2498970224663432,-0.5857750120294587,0.1298700617368701,0.4518299997687776,3
P74281,P74281_SYNY3 Soluble hydrogenase 42 kD subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1559 PE=3 SV=1,0.1220973140371879,0.12756725439415412,0.19554975906065966,0.12756725439415412,0.04092025347788534,3
P73319,RL4_SYNY3 50S ribosomal protein L4 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplD PE=3 SV=1,-0.4041318257189645,0.12729224811101894,0.15028928047381565,0.12729224811101894,0.3136673324653518,3
P77973,ASSY_SYNY3 Argininosuccinate synthase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=argG PE=1 SV=1,-0.31089291020457793,0.4845644191854334,0.12613955276343886,0.12613955276343886,0.39837547645360166,3
P54416,CLPP1_SYNY3 ATP-dependent Clp protease proteolytic subunit 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=clpP1 PE=3 SV=1,1.0288213472446055,0.12507947562182506,-0.05028761088873514,0.12507947562182506,0.5790767262172709,3
Q05972,CH601_SYNY3 60 kDa chaperonin 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=groL1 PE=1 SV=4,0.39267978271103515,0.03167139977768545,0.12284795625204722,0.12284795625204722,0.1877273872618075,3
P48959,RL35_SYNY3 50S ribosomal protein L35 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpmI PE=3 SV=1,-0.4907691728531779,0.12172052650900726,0.12723226211802957,0.12172052650900726,0.35522288418228243,3
P72584,ACSF1_SYNY3 Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=acsF1 PE=3 SV=1,0.005736977845283397,0.15651809553415258,0.12030956270221357,0.12030956270221357,0.07871137200996295,3
P52415,GLGC_SYNY3 Glucose-1-phosphate adenylyltransferase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glgC PE=3 SV=2,-0.06349619023908387,0.11738039517986833,0.15020141348452773,0.11738039517986833,0.11507984491400455,3
Q6ZEA8,Q6ZEA8_SYNY3 Uncharacterized protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll7090 PE=4 SV=1,-0.4653827213473425,0.1708673674802253,0.11675081868852911,0.11675081868852911,0.3527563452821479,3
P74296,SYFB_SYNY3 Phenylalanine--tRNA ligase beta subunit OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pheT PE=3 SV=1,-0.4568430440929725,0.11478189196234374,0.2532456769515186,0.11478189196234374,0.376420261372041,3
Q55511,TIG_SYNY3 Trigger factor OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=tig PE=3 SV=1,0.3403500837155061,0.1141560922192021,-0.04959643460050745,0.1141560922192021,0.19580470669166375,3
P17253,ATPG_SYNY3 ATP synthase gamma chain OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=atpG PE=3 SV=1,0.2482229357935251,0.0360346024433367,0.11331652352962954,0.11331652352962954,0.10739035044068192,3
P72689,IF2_SYNY3 Translation initiation factor IF-2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=infB PE=3 SV=1,-0.48805100974275256,0.11282399830676572,0.33606653351853555,0.11282399830676572,0.42623501536462804,3
P74266,RL21_SYNY3 50S ribosomal protein L21 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplU PE=3 SV=1,0.11140318893182323,0.1956545251729572,0.1039473840127758,0.11140318893182323,0.050931451358960454,3
P72854,SIR_SYNY3 Sulfite reductase [ferredoxin] OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sir PE=1 SV=1,0.1076372081686457,-0.20354969106510148,0.31379523101471024,0.1076372081686457,0.2604432711872457,3
P74229,RS7_SYNY3 30S ribosomal protein S7 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpsG PE=3 SV=1,-0.2795974252836129,0.10534331948084635,0.32536063288751027,0.10534331948084635,0.3062028868045605,3
P22034,CH602_SYNY3 60 kDa chaperonin 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=groL2 PE=1 SV=4,0.10485959439150837,0.17315768069058848,0.09384660166909044,0.10485959439150837,0.04296541604665887,3
P72798,P72798_SYNY3 Ssr2998 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ssr2998 PE=4 SV=1,0.22912991798945961,0.10167400789775252,-0.47582918339759694,0.10167400789775252,0.37565992590863007,3
P28371,EFG1_SYNY3 Elongation factor G 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=fusA PE=1 SV=2,0.049468676264299904,0.15381552463931217,0.09842695477277986,0.09842695477277986,0.05220643554226403,3
P29107,ILVC_SYNY3 Ketol-acid reductoisomerase (NADP(+)) OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ilvC PE=1 SV=3,0.13753051549056733,-0.0727665808138657,0.09646431667428848,0.09646431667428848,0.11146778164110939,3
P09192,PSBD_SYNY3 Photosystem II D2 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=psbD PE=1 SV=2,0.09536402233325665,-0.0027797600909860777,0.2759362679750774,0.09536402233325665,0.14137489300060194,3
P73851,SYDND_SYNY3 Aspartate--tRNA(Asp/Asn) ligase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=aspS PE=3 SV=1,0.5112042527495141,0.09475775007282541,-0.8820454447246208,0.09475775007282541,0.7151592934992306,3
P74360,Y1526_SYNY3 Uncharacterized protein sll1526 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1526 PE=4 SV=1,1.0035937013434,0.08013951358031514,-0.056102680907566885,0.08013951358031514,0.5765249336920651,3
P73546,"P73546_SYNY3 Alpha-1,4 glucan phosphorylase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glgP PE=3 SV=1",-1.0085852544767695,0.07932183467265794,0.15814701305789192,0.07932183467265794,0.6520505383628401,3
P73810,TOP1_SYNY3 DNA topoisomerase 1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=topA PE=3 SV=1,0.3975856417005114,-0.5706041679283238,0.07725900471509463,0.07725900471509463,0.49324222452041805,3
P74175,P74175_SYNY3 HlyD family of secretion proteins OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hlyD PE=4 SV=1,0.09657325969505288,0.05563469897281874,0.07449372622413454,0.07449372622413454,0.0204903817321174,3
Q55247,GLNB_SYNY3 Nitrogen regulatory protein P-II OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=glnB PE=1 SV=1,0.07392955296034713,0.0590073273538825,0.21278202027830084,0.07392955296034713,0.08480304306777832,3
P73312,RL29_SYNY3 50S ribosomal protein L29 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpmC PE=3 SV=1,0.0721758394435211,0.11380937527404122,0.014122594622607546,0.0721758394435211,0.050068261364919237,3
P77965,RPOB_SYNY3 DNA-directed RNA polymerase subunit beta OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpoB PE=3 SV=1,-0.28941794891142325,0.07176433979005312,0.09406673358446568,0.07176433979005312,0.21525587260652163,3
P74008,SAHH_SYNY3 Adenosylhomocysteinase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ahcY PE=3 SV=1,0.06909252327294589,0.06259095733099061,0.1861656424495231,0.06909252327294589,0.0695450554144279,3
P73914,P73914_SYNY3 Squalene-hopene-cyclase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=shc PE=4 SV=1,0.06336058996365852,0.1179952377507516,0.06857699813857618,0.06857699813857618,0.03015050596433789,3
P73789,PPI2_SYNY3 Peptidyl-prolyl cis-trans isomerase slr1251 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1251 PE=3 SV=1,0.06755126710426348,-0.1133809099411307,0.07830766392798036,0.06755126710426348,0.10770071348803342,3
P36236,RL1_SYNY3 50S ribosomal protein L1 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplA PE=3 SV=1,-6.848777915894323e-4,0.33623593157124587,0.05968774018789241,0.05968774018789241,0.17964751920580865,3
P48957,RL20_SYNY3 50S ribosomal protein L20 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplT PE=3 SV=1,-0.3145507607904258,0.5028640058993207,0.050828473446784754,0.050828473446784754,0.4094722229516655,3
P74466,CLPR_SYNY3 Putative ATP-dependent Clp protease proteolytic subunit-like OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=clpR PE=3 SV=1,0.8639633752487246,0.05073188685445121,-0.2973553684997658,0.05073188685445121,0.5959825802316665,3
P73334,RPOC2_SYNY3 DNA-directed RNA polymerase subunit beta' OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rpoC2 PE=3 SV=1,-0.1679791095551757,0.29687578678805376,0.0481256069605074,0.0481256069605074,0.23261841970590486,3
P74421,PGK_SYNY3 Phosphoglycerate kinase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pgk PE=3 SV=2,0.046043429361205535,-0.15217025583917598,0.10584025040512333,0.046043429361205535,0.13505168525427214,3
P73289,RL25_SYNY3 50S ribosomal protein L25 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplY PE=3 SV=2,0.0449567056192963,-0.05543195422282467,0.15846877375102383,0.0449567056192963,0.10701743943876729,3
P26287,CYF_SYNY3 Cytochrome f OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=petA PE=3 SV=1,-0.1684025235128089,0.3258537981011623,0.040059489267513175,0.040059489267513175,0.24813440886929933,3
P73310,RL14_SYNY3 50S ribosomal protein L14 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplN PE=1 SV=1,0.27146954199750983,0.03723457847105209,0.03005272273455275,0.03723457847105209,0.1373557897172547,3
P80505,G3P2_SYNY3 Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gap2 PE=1 SV=3,0.1705416695606515,0.03563895355306554,-0.033382042748392654,0.03563895355306554,0.10372039429685556,3
Q55544,APCE_SYNY3 Phycobiliprotein ApcE OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=apcE PE=1 SV=1,0.0341682600453698,0.025931239127795658,0.20671043435438471,0.0341682600453698,0.10207821172647655,3
Q55480,YZ37_SYNY3 Uncharacterized sugar kinase slr0537 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0537 PE=3 SV=1,0.20153051995397,-0.3648977883932472,0.030571699018555592,0.030571699018555592,0.29053515634270244,3
P74358,P74358_SYNY3 Sll1528 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=sll1528 PE=4 SV=1,0.49489852866612527,0.024024457124568722,-0.17979616429818585,0.024024457124568722,0.346043871419383,3
P74750,DPO3A_SYNY3 DNA polymerase III subunit alpha (Fragments) OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=dnaE-N PE=1 SV=2,0.023509783489158134,-0.3823571298981001,0.3157643282379457,0.023509783489158134,0.35059811765486804,3
P74643,P74643_SYNY3 Phosphoglucomutase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=pgm PE=3 SV=1,0.012371777313931888,0.22940875617647166,0.023263566821406016,0.023263566821406016,0.12228349600190638,3
P72848,HEM6_SYNY3 Oxygen-dependent coproporphyrinogen-III oxidase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hemF PE=1 SV=1,0.0719197351991026,-0.09190685534282149,0.022181573836778032,0.022181573836778032,0.08399325978609273,3
P72649,P72649_SYNY3 Phosphoglycerate mutase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=gpmB PE=3 SV=1,0.039556360869036335,0.020570396938210153,-0.259871021073524,0.020570396938210153,0.1676626637128805,3
P77969,HEM2_SYNY3 Delta-aminolevulinic acid dehydratase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=hemB PE=3 SV=1,0.08870934348912975,-0.0826590748228511,0.018844536614558184,0.018844536614558184,0.08616960907536543,3
P73296,RL17_SYNY3 50S ribosomal protein L17 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=rplQ PE=3 SV=1,-0.42979985220329014,0.04821881998372287,0.018527135046917675,0.018527135046917675,0.2678247357914841,3
P74689,ILVD_SYNY3 Dihydroxy-acid dehydratase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=ilvD PE=3 SV=1,-0.8033446764900077,0.5656607610794201,0.016856838234633024,0.016856838234633024,0.6889717167127983,3
Q57038,CYB6_SYNY3 Cytochrome b6 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=petB PE=3 SV=1,-0.4189647291144835,0.01393919095787409,0.20831723612472536,0.01393919095787409,0.32111038921510693,3
Q55514,Q55514_SYNY3 Slr0552 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0552 PE=4 SV=1,-0.2547558945856354,0.1278560559094578,0.012928331941561365,0.012928331941561365,0.19632249469073595,3
